,names,index
0,KPMG2022 - Future of supply chain.pdf,1
1,BCG2020 - managing SC AI.pdf,2
2,Accenture2022 - ScalingAI SC.pdf,3
3,BCG2023 - AI SCG fallen short.pdf,4
4,McKinsey2021 - AI SC revolution.pdf,5
5,Accenture2021 - SC analytics &AI.pdf,6
6,Deloitte2019 - SC and digital analytics.pdf,7
7,Bain2023 - AI & manufacturing.pdf,8
8,Porsche2021 - AI SC.pdf,9
